lat_wrf,lon_wrf,temperatura,viento,lluvia,humedad,nubosidad
33.21064,-12.172028,21.7,21.5,0.0,83.6,45.3
33.215546,-12.11792,21.7,21.1,0.0,83.7,45.7
33.220425,-12.063782,21.7,20.8,0.0,83.8,46.0
33.225277,-12.009644,21.7,20.5,0.0,83.8,46.0
33.23009,-11.955505,21.8,20.2,0.0,83.7,45.6
33.234875,-11.901367,21.8,20.0,0.0,83.4,44.8
33.239628,-11.8471985,21.9,19.8,0.0,83.2,43.8
33.244354,-11.79303,22.0,19.7,0.0,83.0,43.1
33.249054,-11.738861,22.0,19.6,0.0,82.9,43.1
33.25371,-11.684662,22.1,19.7,0.0,83.1,43.7
33.258343,-11.630493,22.1,19.8,0.0,83.4,44.7
33.26294,-11.576294,22.1,19.9,0.0,83.8,45.9
33.267525,-11.522095,22.1,20.1,0.0,84.2,47.2
33.27206,-11.467865,22.1,20.3,0.0,84.5,48.4
33.276573,-11.413666,22.1,20.5,0.0,84.9,49.7
33.281055,-11.359436,22.1,20.8,0.0,85.4,51.1
33.285496,-11.305206,22.0,21.0,0.0,85.8,52.6
33.289913,-11.250946,22.0,21.2,0.0,86.2,53.9
33.294304,-11.196716,22.0,21.3,0.0,86.6,55.2
33.29866,-11.142456,22.1,21.4,0.0,86.9,56.4
33.30299,-11.088196,22.1,21.4,0.0,87.3,57.5
33.307285,-11.033936,22.1,21.4,0.0,87.6,58.5
33.311543,-10.979645,22.2,21.3,0.0,87.8,59.1
33.31578,-10.925354,22.2,21.2,0.0,87.9,59.6
33.31998,-10.871063,22.2,21.0,0.0,88.0,59.8
33.324158,-10.816772,22.2,20.9,0.0,88.0,59.9
33.328293,-10.762482,22.2,20.6,0.0,88.0,59.9
33.332413,-10.70816,22.2,20.6,0.0,88.0,60.0
33.336487,-10.653839,22.2,20.6,0.0,88.0,59.9
33.340546,-10.599518,22.3,20.6,0.0,87.9,59.7
33.34456,-10.545197,22.3,20.6,0.0,87.9,59.5
33.34855,-10.490875,22.3,20.6,0.0,87.8,59.3
33.35251,-10.436523,22.4,20.5,0.0,87.7,59.0
33.356438,-10.382172,22.4,20.4,0.0,87.7,58.8
33.360332,-10.32782,22.4,20.5,0.0,87.6,58.5
33.364197,-10.273468,22.5,20.6,0.0,87.5,58.2
33.368034,-10.219086,22.5,20.5,0.0,87.3,57.8
33.371826,-10.164703,22.5,20.3,0.0,87.2,57.3
33.37561,-10.110321,22.5,20.3,0.0,87.1,56.8
33.379353,-10.055939,22.6,20.2,0.0,86.9,56.3
