lat_wrf,lon_wrf,temperatura,viento,lluvia
33.21064,-12.172028,22.1,29.1,0.0
33.215546,-12.11792,22.1,29.3,0.0
33.220425,-12.063782,22.1,29.2,0.0
33.225277,-12.009644,22.1,29.2,0.0
33.23009,-11.955505,22.1,29.1,0.0
33.234875,-11.901367,22.1,28.9,0.0
33.239628,-11.8471985,22.1,28.8,0.0
33.244354,-11.79303,22.1,28.6,0.0
33.249054,-11.738861,22.1,28.4,0.0
33.25371,-11.684662,22.1,28.3,0.0
33.258343,-11.630493,22.1,28.1,0.0
33.26294,-11.576294,22.1,27.9,0.0
33.267525,-11.522095,22.1,27.6,0.0
33.27206,-11.467865,22.1,27.3,0.0
33.276573,-11.413666,22.1,27.1,0.0
33.281055,-11.359436,22.1,26.9,0.0
33.285496,-11.305206,22.1,26.6,0.0
33.289913,-11.250946,22.1,26.4,0.0
33.294304,-11.196716,22.1,26.2,0.0
33.29866,-11.142456,22.1,25.9,0.0
33.30299,-11.088196,22.1,25.7,0.0
33.307285,-11.033936,22.2,25.5,0.0
33.311543,-10.979645,22.2,25.4,0.0
33.31578,-10.925354,22.2,25.3,0.0
33.31998,-10.871063,22.2,25.2,0.0
33.324158,-10.816772,22.3,25.2,0.0
33.328293,-10.762482,22.3,25.1,0.0
33.332413,-10.70816,22.4,25.0,0.0
33.336487,-10.653839,22.4,24.9,0.0
33.340546,-10.599518,22.4,24.7,0.0
33.34456,-10.545197,22.5,24.6,0.0
33.34855,-10.490875,22.5,24.4,0.0
33.35251,-10.436523,22.6,24.3,0.0
33.356438,-10.382172,22.6,24.2,0.0
33.360332,-10.32782,22.7,24.0,0.0
33.364197,-10.273468,22.7,23.8,0.0
33.368034,-10.219086,22.8,23.5,0.0
33.371826,-10.164703,22.9,23.1,0.0
33.37561,-10.110321,23.0,22.8,0.0
33.379353,-10.055939,23.0,22.5,0.0
33.383064,-10.001556,23.1,22.1,0.0
33.38674,-9.947144,23.2,21.7,0.0
